Valik Palica Oleksandrovich
Меньшикова Нора Ісаківна
Диня Йосип Ісакович
Барбон Інна Борисівна
Лящук Мирослав Ігнатійович
Яцеленко Вітольд Ілліч
Яким Тихон Тихонович
Любота Лада Рудольфівна
Тороус Василь Йосипович
Смаровоз Порфирій Петрович
Гасяк Леонід Овідійович
Агафонов Ясон Нісонович
Турчиняк Євгеній Пилипович
Гурін Тимофій Гордейович
Зелена Лілія Мойсеївна
Клямар Галактіон Корнилійович
Плигун Мілена Карлівна
Кононко Сергій Леонтійович
Прокудін Тарас Матвейович
Томчишин Тімур Леонардович
Бейко Юнона Самуїлівна
Кожемяко Олеся Данилоівна
Самборський Георгій Святославович
Рамазанова Броніслава Нісонівна
Куртяк Андрій Ельдарович
Гуляєв Лук'ян Ярославович
Колодницький Максиміліан Терентьєвович
Якубенко Герасим Віссаріонович
Яшан Ігнатій Владиславович
Неборачко Берта Володимирівна
Телешман Олександр Клементович
Рябчич Іветта Степанівна
Матрос Клим Святославович
Волкогон Артем Олегович
Блажчук Гурій Маркович
Васьківська Лада Петрівна
Гуля Олесь Олегович
Воскобойник Богдана Віссаріонівна
Чучман Гурій Максимович
Скороходова Броніслава Вадимівна
Поточняк Юлій Іраклійович
Чечіль Модест Миколович
Малишев Аніта Сергіївна
Лубенський Рафаїл Пилипович
Шмігель Данило Назарович
Квачук Роксолана Борисівна
Світлик Віллі Йосипович
Друзенко Валентина Климівна
Чіх Геннадій Миронович
Стефаненко Ліана Митрофанівна
Сокирко Віталій Наумович
Остапко Віссаріон Мойсейович
Фадєєва Оксана Гуріївна
Будюк Іларіон Мстиславович
Мартинець Осип Гордейович
Рубльова Яна Опанасівна
Сухомлин Яромир Альбертович
Шкворець Федір Рафаїлович
Черчик Марина Корниліївна
Телятник Микола Ігорович
Сухарь Софія Никанорівна
Трифонов Назар Ясонович
Лютко Геннадій Гавриїлович
Мотиль Фаддей Клементович
Козін Борис Адріанович
Воєводін Лідія Порфиріївна
Сергійчик Андрій Бенедиктович
Храбан Броніслава Рафаїлівна
Карпо Алла Севастіанівна
Крохмальна Одарка Савеліївна
Барчук Анжела Леонідівна
Грипась Дмитро Бенедиктович
Вихрист Ілля Яківович
Кавюк Тімур Денисович
Кибкало Мирон Тімурович
Янковенко Вадим Йосипович
Хома Елеонора Корниліївна
Онищенко Борислава Олегівна
Колісніченко Веста Митрофанівна
Вихрист Орест Валерійович
Дудик Ясна Вікентіївна
Кірнос Лада Пилипівна
Бистрицька Беатріса Іларіонівна
Жуган Веніамін Олексійович
Маковоз Арсеній Кузьмович
Прокопишин Надія Вікторівна
Юзвяк Іраїда Парамонівна
Сергійчик В'ячеслав Фаддейович
Гарага Христина Геннадіївна
Чирков Максиміліан Віссаріонович
Набойченко Петро Федірович
Бездольний Клим Герасимович
Наумчук Павло Васильович
Дворніченко Никанор Ельдарович
Багрійчук Платон Костянтинович
Насадюк Георгій Русланович
Гора Флора Леонтіївна
Таранова Карина Станіславівна
Рижков Кіра Гуріївна
Сович Парасковія Аристархівна
Некраса Сара Іванівна
Храпач Тамара Вілліівна
Карайван В'ячеслав Герасимович
Данчук Інеса Вадимівна
Одарюк Соломія Глібівна
Анацький Василь Нісонович
Крещук Лазар Станіславович
Харін Поліна Мечиславівна
Сташевська Аврора Ростиславівна
Колодін Аліна Денисівна
Кушіль Едуард Наумович
Томич Елла Артемівна
Свинобой Кирило Лук'янович
Кречко Платон Назарович
Мулик Ростислав Майович
Миронов Вадим Ігорович
Отян Гарі Володимирович
Терлецький Самсон Адамович
Дяконенко Пилип Майович
Золотих Джульєтта Артеміївна
Супрунець Єгор Артемійович
Максютенко Назар Ярославович
Кунинець Лідія Бенедиктівна
Дерега Ніка Вікентіївна
Решетов Віллі Гордейович
Ротай Савелій Петрович
Слободн Донат Захарович
Пилипишин Варвара Олександрівна
Гульчак Олесь Євгенійович
Маноха Діана Артурівна
Беспалов Інна Федірівна
Бернацька Сара Мстиславівна
Легун Парамон Юхимович
Явдик Жанна Леонідівна
Щокін Олесь Юрійович
Боцман Леонтій Болеславович
Семенець Галактіон Лук'янович
Горган Олексій Макарович
Грузін Тімур Ілліч
Архипенко Роберт Майович
Овчинніков Христина Парамонівна
Гарбузенко Арсеній Станіславович
Рисіч Адольф Майович
Саранчук Федот Андрійович
Кацюк Май Рафаїлович
Фурман Ясон Любомирович
Лісевич Олексій Федотович
Чолій Прокофій Ясонович
Скочиляс Валерія Іракліївна
Стовбун Федот Яківович
Вавринчук Роксолана Робертівна
Семенюта Ірина Максимівна
Лабун Фаддей Мирославович
Мамедова Гелена Ісаківна
Реус Ілля Юліанович
Малихін Май Георгійович
Одарчук Мілена Омелянівна
Некоз Рудольф Альфредович
Ромась Орест Омелянович
Данік Астра Аркадіївна
Фесик Ярина Анатоліївна
Серік Ясон Ростиславович
Горбатов Матвей Клементович
Кобюк Мойсей Станіславович
Шпортюк Гелена Вітольдівна
Поцелуєв Вера Артемівна
Трачук Пилип Геннадійович
Трошин Григорій Тарасович
Дручок Артур Макарович
Нестеровська Сніжана Миколівна
Христиченко Тимофій Микитович
Шевчик Вікторія Рудольфівна
Сохач Ксенія Велорівна
Дубинюк Федот Тихонович
Козарь Белла Герасимівна
Касаткіна Ніка Віссаріонівна
Темний Дмитро Янович
Осадченко Вікентій Адольфович
Самотой Вікентій Донатович
Лозовенко Антон Богданович
Джосан Пилип Геннадійович
Охмуш Євдоким Ігорович
Пипич Ян Адольфович
Пальчук Ніна Юліанівна
Грегуль Едуард Вікентійович
Савенок Севастіан Костянтинович
Переверза Ніка Ельдарівна
Шпачук Максиміліан Глібович
Кроль Іларіон Левович
Звягінцев Тетяна Германівна
Плетньов Карина Марківна
Попеско Вера Парамонівна
Скоцеляс Степан Миронович
Лукянович Родіон Парамонович
Дробот Бенедикт Фомович
Фединяк Омелян Артурович
Дриль Ванда Андріївна
Каськова Мірра Альфредівна
Несторук Ясон Майович
Галів Валентина Альбертівна
Орешко Нісон Яківович
Гелеверя Модест Порфирійович
Нідзельський Тарас Вікентійович
Калаянова Тереза Юліївна
Петричко Мирослав Юліанович
Чербаджі Юлія Мартінівна
Лаврик Роман Віссаріонович
Водник Сусанна Арнольдівна
Пулінець Парасковія Іракліївна
Цьома Людмила Глібівна
Алексеєв Платон Семенович
Осадчук Натан Захарович
Батраченко Кирило Севастіанович
Юсюк Ясна Арсеніївна
Веремейчук Марк Євдокимович
Жук Богдан Гавриїлович
Пастухова Ванда Маївна
Проскурін Альфред Никанорович
Куниця Парамон Карлович
Бахмут Мечислав Романович
Шарапова Надія Григоріївна
Дацько Парамон Євдокимович
Лікаренко Поліна Осипівна
Жовтоног Пилип Гавриїлович
Грубяк Калерія Рафаїлівна
Житарюк Іветта Вілліівна
Гришко Родіон Євгенійович
Кальний Антон Ярославович
Андрейків Петро Лазарович
Горбатий Яромир Клементович
Громадянка Любов Глібівна
Рябчук Яків Кузьмович
Вольвач Тімур Богданович
Смішко Бенедикт Феліксович
Кучков Агнеса Севастіанівна
Вальчишин Прокофій Тихонович
Дмитренко Гертруда Гуріївна
Стельмах Модест Вітольдович
Гайдайчук Павло Аристархович
Винокуров Джульєтта Назарівна
Фітенко Марія Родіонівна
Горчак Наум Святославович
Московченко Герман Нісонович
Цвик Рубен Костянтинович
Тюх Максиміліан Ясенович
Бригинець Клара Денисівна
Сандульська Вікторія Артемівна
Рожук Мирослав Гаріович
Наглюк Данило Ельдарович
Васильченко Кіра Аристархівна
Гушул Інара Тімурівна
Посохов Валентина Лук'янівна
Сукачова Муза Ігнатіївна
Герега Роксолана Віссаріонівна
Бакланова Богдана Адольфівна
Петрунь Станіслав Максимович
Шкуропат Аркадій Георгійович
Слісаренко Оскар Інокентійович
Меренков Мечислав Юхимович
Сімашко Олексій Самсонович
Макарчук Віктор В'ячеславович
Чебан Тереза Святославівна
Бевцик Данило Олегович
Боярський Наум Кондратович
Леонтій Олег Федірович
Пунько Владислав Георгійович
Кузуб Максиміліан Зіновійович
Гриневич Любомир Леонардович
Озерна Валентина Петрівна
Огли Святослав Юліанович
Гальчинський Трохим Артемович
Будько Раїса Адамівна
Стецюра Аріна Вікентіївна
Матвіюк Тимофій Севастіанович
Гладенко Елла Артурівна
Бучковський Митрофан Єгорович
Яровой Роберт Пилипович
Друзенко Іван Арсенійович
Рослик Доля Велорівна
Хомут Інокентій Мстиславович
Смоляков Ілля Давидович
Потерейко Герман Юліанович
Шилко Ксенія Рубенівна
Демненко Давид Павлович
Побережнюк Єгор Аврамович
Петрухіна Регіна Альфредівна
Сільчук Любов Максимівна
Пламаділ Дональд Феліксович
Придибайло Олег Яківович
Рослик Геннадій Костянтинович
Лазарєв Терентьєв Мечиславович
Дмитрійчук Ельза Адольфівна
Гулевський Віктор Андрійович
Голубєв Захар Веніамінович
Бутирін Олена Георгіївна
Плаксюк Зіновій Савелійович
Лець Прокофій Антонович
Корня Василь Леонардович
Хомут Федір Федірович
Гальчинська Вероніка Рафаїлівна
Замогильна Стела Лук'янівна
Перевертайло Марта Гордеївна
Юрій Прохор Олесьович
Барладян Ясен Семенович
Попач Іван Орестович
Кадигроб Юліан Артемович
Пастушак Денис Фаддейович
Семенько Броніслава Арнольдівна
Кузик Орест Лук'янович
Форсюк Валентина Вальтерівна
Котяш Самуїл Рафаїлович
Торкотюк Велор Кузьмович
Устиченко Ніка Велорівна
Максаков Назар Юлійович
Романишин Клим Велорович
Камінський Клемент Леонтійович
Марінов Броніслав Овідійович
Бугаєвська Юлія Вітольдівна
Борисевич Іларіон Бенедиктович
Балак Агнеса В'ячеславівна
Литвинець Віссаріон Болеславович
Кормілець Інокентій Прокофійович
Гуменчук Вадим Ясенович
Кісіленко Олександр Дональдович
Крапива Мірра Левівна
Кірілова Веста Олегівна
Дзюмак Гавриїл Севастіанович
Сульженко Альберт Геннадійович
Синицький Ігор Натанович
Котвіцька Гелена Лук'янівна
Титов Савелій Вольдемарович
Оксенюк Аріна Зіновіївна
Приймаченко Кондрат Ясенович
Колеснік Митрофан Яремович
Михед Гертруда Артурівна
Міщишин Вольдемар Степанович
Сушкевич Макар Савелійович
Трифонова Неллі Броніславівна
Курсик Федір Давидович
Лукащук Дональд Ясонович
Литвин Зінаїда Гавриїлівна
Сушинський Клим Клементович
Бічер Ельвіра Ігнатіївна
Артюхова Серафіма Марківна
Лютко Мірдза Глібівна
Гошовська Михайлина Данилоівна
Васюра Одарка Наумівна
Звягін Юліан Архипович
Каменський Володимир Костянтинович
Мориконь Фаїна Євгеніївна
Гнатенко Ростислав Гурійович
Лашевич Артур Памфілович
Несен Ольга Олексіївна
Шелест Ілля Арсенійович
Дорофеєв Денис Рафаїлович
Небилиця Ілля Данилоович
Вереш Богдан Бенедиктович
Тішаков Йосип Вікентійович
Децик Ясен Ростиславович
Побігай Клемент Мстиславович
Кулішов Роза Маївна
Цюх Вольдемар Максимович
Суходуб Роберт Герасимович
Апончук Глафіра Петрівна
Крейтор Болеслав Євдокимович
Пархонюк Ірина Рубенівна
Кізяк Натан Кузьмович
Воєвідко Юнона Вадимівна
Лагнюк Олеся В'ячеславівна
Тихолаз Артемій Дмитрович
Павлюх Данило Броніславович
Чепига Анастасія Бенедиктівна
Присакар Вероніка Мечиславівна
Гедзик Яна Рудольфівна
Гнипа Берта Ілляівна
Куделько Астра Віталіївна
Ачкасова Муза Олегівна
Різун Адріан Фомович
Васильченко Карл Майович
Тимчишин Інокентій Арнольдович
Багрійчук Тарас Яремович
Кулагіна Інеса Прохорівна
Зайвий Йосип Юрійович
Лутай Мирослав Вікторович
Березко Юхим Кирилоович
Громадський Артемій Геннадійович
Чигрин Діна Герасимівна
Матвіїшин Рубен Парамонович
Базяк Варвара Гавриїлівна
Касьянов Вера Сергіївна
Живило Марфа Юліанівна
Рудейчук Севастіан Ельдарович
Бут Валерій Янович
Малюк Максиміліан Мстиславович
Капля Арсеній Валерійович
Медвецька Джульєтта Мирославівна
Перевізник Марія Ігорівна
Рубанов Вальтер Робертович
Кузан Зоя Карлівна
Ковтунович Мартін Матвейович
Шестак Федір Герасимович
Артемєв Натан Мстиславович
Гоман Богдан Антонович
Алхімов Прокофій Альфредович
Березін Зінаїда Рубенівна
Желєзняк Парамон Валерійович
Агєєв Назар Лук'янович
Ждан Макар Альфредович
Вюнник Сергій Юрійович
Дацко Микола Олегович
Шуклін Світлана Богданівна
Масник Май Іларіонович
Расторгуєв Ангеліна Зіновіївна
Богданова Ліана Юліївна
Булавко Борис Юрійович
Лунгул Аристарх Данилоович
Калиниченко Веніамін Владиславович
Крот Осип Гурійович
Олександренко Віссаріон Самуїлович
Лупан Тихон Бенедиктович
Макота Лада Кирилоівна
Шаховал Карл Дмитрович
Майдан Олег Адольфович
Неживенко Прокофій Русланович
Карабут Євгеній Вікентійович
Курян Євгенія Артеміївна
Зубович Едуард Вальтерович
Кадиров Севастіан Леонардович
Криворук Митрофан Овідійович
Великоіваненко Стела Галактіонівна
Бурзак Олег Нісонович
Душко Митрофан Олегович
Чехівський Артемій Маркович
Дзиговська Ядвіга Прохорівна
Куликов Роман Ростиславович
Марін Вальтер Валерійович
Пацкан Леонард Фомович
Череп Олексій Йосипович
Пугаченко Рафаїл Артемійович
Шупеня Матвей Артемійович
Рогальський Юліан Лук'янович
Чирка Фаїна Святославівна
Вієру Броніслав Фаддейович
Осташко Порфирій Федірович
Стрельцова Джульєтта Геннадіївна
Лужняк Овідій Іраклійович
Костюкова Богдана Віссаріонівна
Урбан Любомир Володимирович
Онищук Тімур Терентьєвович
Мелешко Гліб Климович
Корчак Рафаїл Мартінович
Турок Адольф Велорович
Сомик Світлана Макарівна
Панфілов Архип Яромирович
Дерень Парамон Леонардович
Витвицький Вальтер Арнольдович
Вакулик Герасим Яківович
Калуш Нісон Любомирович
Мазурова Наталя Максимівна
Фурдик Віллі Маркович
Яцеленко Кондрат Яромирович
Трофимчук Інокентій Олегович
Лазнюк Орест Лазарович
Пейчева Раїса Опанасівна
Головков Інна Мстиславівна
Сташко Андрій Оскарович
Мацейко Іраклій Ісакович
Лісниченко Веніамін Мстиславович
Сільчук Герасим Мойсейович
Овод Оскар Тімурович
Никончук Оскар Прохорович
Салюк Мартін Велорович
Макаревич Аристарх Наумович
Попель Максим Парамонович
Божеску Артур Нісонович
Гаєвий Арсеній Рудольфович
Нікіфорова Берта Болеславівна
Петришен Вадим Вольдемарович
Матющенко Віссаріон Мстиславович
Торгонський Іраклій Максимович
Кохно Венера Любомирівна
Куліда Іветта Миронівна
Ячник Катерина Володимирівна
Алексейчук Данута Вікторівна
Гофман Юнона Вілліівна
Жупник Валентин Данилоович
Крищук Ангеліна Галактіонівна
Лобова Глафіра Ростиславівна
Гура Таїсія Ілляівна
Жидченко Філіппіна Платонівна
Кудрявець Гурій Мстиславович
Заіченко Артур Рафаїлович
Федорак Броніслава Степанівна
Мишко Дарина Вольдемарівна
Рябчук Герасим Вальтерович
Заморський Геннадій Никанорович
Сорочинська Лілія Самсонівна
Данило Надія Велорівна
Літвинчук Май Мартінович
Козленко Джульєтта Тарасівна
Шпаченко Болеслав Феліксович
Ганнич Мирослав Вікентійович
Сініченко Лариса Глібівна
Цуприк Єва Архипівна
Обіход Віталіна Климівна
Лашкевич Людвіг Парамонович
Буць Опанас Оскарович
Павловська Юнона Вольдемарівна
Синенко Памфіл Денисович
Піднебесна Одарка Опанасівна
Петришена Ніла Климівна
Нечепуренко Кондрат Аврамович
Верещака Іраїда Прокофіївна
Сміщук Віллі Іраклійович
Пурис Костянтин Янович
Гронь Любов Андріївна
Садкова Віталіна Єгорівна
Колтунов Гліб Ростиславович
Підченко Пилип Арсенійович
Ставничий Марк Тарасович
Лівітчук Тамара Прохорівна
Бурла Лідія Леонтіївна
Пельц Антон Вітольдович
Яцечко Юхим Бенедиктович
Думнич Дональд Фомович
Франків Ельвіра Прокофіївна
Лх Роберт Станіславович
Бєлікова Емма Тарасівна
Переверзев Таїра Назарівна
Маркевич Михайлина Нісонівна
Вдовіченко Микола Вілліович
Савранчук Ян Максимович
Туровська Мірра Прокофіївна
Ведмідь Вальтер Денисович
Підгородецький Кондрат Дмитрович
Неживий Арсеній Артемович
Дунаєнко Павло Гаріович
Дужак Анфіса Максиміліанівна
Криштоф Астра Арсеніївна
Хейло Валерія Борисівна
Білоущенко Глафіра Максимівна
Рабощук Валерія Юріївна
Курман Фома Макарович
Бачуріна Марія Олегівна
Пашинський Матвей Лук'янович
Карацюба Лариса Левівна
Кривко Олександр Дональдович
Мицик Мечислав Аврамович
Войновська Таїра Бенедиктівна
Сідлецький Роман Альбертович
Кардаш Руслана Бенедиктівна
Соболенко Мстислав Мартінович
Яремій Федот Пилипович
Мирончук Ясен Арнольдович
Бичек Вікентій Севастіанович
Заришняк Гліб Вікентійович
Сизон Нісон Гавриїлович
Бирко Едуард Леонардович
Аракелян Руфіна Володимирівна
Чобіток Максиміліан Юхимович
Чакір Ніка Андріївна
Козаков Нісон Оскарович
Карауш Ігор Арсенійович
Нескоромний Андрій Леонардович
Холодний Прохор Олегович
Федончук Йосип Максиміліанович
Козик Адам Вілліович
Арбузов Севастіан Русланович
Гуща Генрієта Вальтерівна
Марус Інара Платонівна
Бабушкін Пилип Олегович
Хижнк Гордей Овідійович
Криворчук Гурій Карлович
Ончуленко Олена Аркадіївна
Крилов Анастасія Данилоівна
Куцевол Неллі Валеріївна
Шульзі Інара Любомирівна
Дубовський Лазар Броніславович
Опарій Гурій Іраклійович
Рашко Фаддей Фаддейович
Затірка Нора Антонівна
Григор`єв Архип Яромирович
Шутко Корнилій Геннадійович
Ведмідь Лук'ян Корнилійович
Шаркевич Раїса Савеліївна
Кіндрат Валерія Леонтіївна
Семенишин Данута Вікентіївна
Коленченко Ельза Іларіонівна
Клімчук Йосип Наумович
Киселиця Самуїл Яромирович
Дубко Опанас Родіонович
Погорілко Прокофій Дмитрович
Булигін Галина Рубенівна
Римар Анжела Арсеніївна
Семотюк Віолета Георгіївна
Захарій Арсеній Аврамович
Петрущенко Капітоліна Наумівна
Непотенко Орест Андрійович
Болюх Ігор Климович
Загороднюк Мірра Миколівна
Багдасарян Лазар Лук'янович
Рамазанова Ясна Донатівна
Герун Олеся Миколівна
Пархонюк Севастіан Мойсейович
Цибрій Севастіан Гурійович
Манилюк Макар Рубенович
Завіруха Оксана Митрофанівна
Луцюк Вікентій Модестович
Заіка Жанна Матвеївна
Пелепець Зіновій Костянтинович
Гетманець Любов Юліївна
Вороний Максиміліан Самуїлович
Ангеловський Родіон Дмитрович
Бабина Наталя Трохимівна
Зарудній Максим Данилоович
Ятченко Дмитро Майович
Верховод Осип Климович
Баланда Марія Клементівна
Калмиков Максиміліан Захарович
Шурига Борислава Прокофіївна
Тягун Зоя Гордеївна
Антосюк Платон Никанорович
Турлюн Самуїл Васильович
Бабець Гавриїл Корнилійович
Киченко Олег Артурович
Самохвал Леонард Аврамович
Помінчук Ілля Ельдарович
Богатир Федот Юлійович
Савранський Юрій Орестович
Чикалюк Наталя Натанівна
Ковальчук Артем Фомович
Касяненко Ясен Андрійович
Волошко Сабіна Юліанівна
Сміян Ірина Ісаківна
Савченко Опанас Донатович
Муц Парасковія Вольдемарівна
Кибкало Йосип Самсонович
Гал Самуїл Гурійович
Павлюх Дмитро Інокентійович
Дьолог Альфред Трохимович
Гонтарь Вадим Антонович
Папроцька Ніна Адольфівна
Звіряка Раїса Вілліівна
Сичов Овідій Мечиславович
Данич Інара Фомівна
Завялов Юліан Феліксович
Черченко Тамара Парамонівна
Довганич Самуїл Рудольфович
Зварич Данута Петрівна
Булич Валерія Германівна
Бражнік Микита Віталійович
Леонов Ія Євгеніївна
Олашин Мстислав Феліксович
Колун Ісак Владиславович
Бахтіна Ганна Петрівна
Зволінська Валентина Ісаківна
Линюк Ярина Мирославівна
Перебейніс Карина Марківна
Папенко Валентин Геннадійович
Бурса Веста Леонтіївна
Шемшур Прокофій Мойсейович
Бережник Аркадій Броніславович
Орленко Прохор Осипович
Гоян Альфред Мечиславович
Байдюк Святослав Прохорович
Явір Анжела Вітольдівна
Прохоренко Богдан Ельдарович
Зілінський Веніамін Зіновійович
Захарюк Борис Максиміліанович
Горєлов Мечислав Станіславович
Карвацька Одарка Парамонівна
Силенок Парамон Владиславович
Лободюк Ірина Миколівна
Мерзлюк Богдана Мойсеївна
Жмайло Гліб Климович
Недошитко Елла Семенівна
Михайлець Ірина Фомівна
Колібаба Вероніка Вітольдівна
Чуйков Антон Опанасович
Матющенко Кирило Никанорович
Джима Генрієта Опанасівна
Огіренко Севастіан Миронович
Демчук Архип Карлович
Агеєв Венера Борисівна
Касюк Натан Галактіонович
Нескоромна Ія Аврамівна
Солошенко Прокофій Ясонович
Рубанка Іветта Ігорівна
Тхорик Нісон Степанович
Ставенко Єгор Натанович
Хілобок Іраїда Герасимівна
Смичок Валерій Омелянович
Плюйко Олесь Альфредович
Довгий Микола Яромирович
Прохор Артемій Мирославович
Вікторук Омелян Адріанович
Заплітний Георгій Веніамінович
Панаско Тимофій Мирославович
Майданник Матвей Валентинович
Дигало Ярослав Севастіанович
Котелевич Стефанія Опанасівна
Пташнік Микита Григорійович
Сулейманов Герман Андрійович
Подлєсний Порфирій Георгійович
Проненко Вольдемар Тімурович
Білюк Модест Ростиславович
Татаров Лев Адріанович
Кратенко Рудольф Архипович
Чихман Гурій Тарасович
Терешкун Микола Савелійович
Голенко Рудольф Тихонович
Конюхова Рената Трохимівна
Лямець Вальтер Юрійович
Демідова Римма Самсонівна
Барабан Джульєтта Лазарівна
Оробченко Ян Мойсейович
Скрипниченко Фелікс Фомович
Шкуратов Віктор Тихонович
Тарадай Вітольд Юлійович
Церковний Ельдар Рубенович
Салієнко Оскар Омелянович
Жовнер Руслан Юрійович
Кулій Геннадій Гордейович
Болдижар Федот Майович
Бирко Адріан Тимофійович
Ворох Раїса Георгіївна
Галич Серафіма Броніславівна
Сом Артур Леонідович
Козачко Уляна Юріївна
Акуленко Астра Климівна
Пузько Наталя Євдокимівна
Глазунов Адріан Віталійович
Бочкарьов Май Броніславович
Федечко Іраїда Зіновіївна
Самбор Яна Робертівна
Педь Порфирій Вікторович
Дубович Рафаїл Богданович
Дмитрашко Михайло Болеславович
Сальнік Федот Ярославович
Соломонов Фелікс Іванович
Сікало Зіновій Геннадійович
Бошков Михайло Данилоович
Чолак Овідій Савелійович
Леленко Василіса Робертівна
Савшак Мирон Савелійович
Капкан Людвіг Ясонович
Беленко Кузьма Артурович
Васільєв Модест Андрійович
Щавінський Геннадій Дональдович
Турик Сабіна Вітольдівна
Волосюк Сергій Платонович
Васильків Тімур Архипович
Проскурняк Генрієта Омелянівна
Кіріяк Зіновій Овідійович
Любич Ніка Трохимівна
Полянко Максим Святославович
Лешко Микита Ігнатійович
Драй Фома Прохорович
Кожокару Олександра Парамонівна
Удот Устінья Альбертівна
Улізько Майя Донатівна
Лініченко Роксана Юріївна
Ярмошук Вікентій Модестович
Гикава Ванда Юліанівна
Дукач Тереза Тарасівна
Щетинін Ніна Герасимівна
Дементій Митрофан Іларіонович
Черненька Стефанія Віссаріонівна
Немеш Лайма Орестівна
Кочук Мойсей Ельдарович
Слободнюк Жанна Артеміївна
Костриця Мечислав Юліанович
Киченко Овідій Адріанович
Олещенко Клара Ісаківна
Митко Дарина Трохимівна
Вікаренко Леонард Броніславович
Славич Майя Павлівна
Сковлюк Джульєтта Юліївна
Баркар Тимофій Костянтинович
Привалов Серафіма Ельдарівна
Степанишин Марк Костянтинович
Сарана Марина Тарасівна
Тихоненко Ядвіга Андріївна
Барабанов Інара Микитівна
Халіна Берта Євгеніївна
Потій Єгор Альфредович
Карнафель Мойсей Яромирович
Дубіцька Сара Тихонівна
Муждабаєв Ада Федірівна
Хілобок Ніка Мирославівна
Маноха Доля Тімурівна
Бардаш Степан Самсонович
Васильчик Ярема Ілліч
Яцуляк Назар Давидович
Шнир Михайлина Вальтерівна
Муковоз Діна Юліанівна
Бельдій Гліб Оскарович
Дячков Сара Андріївна
Бернацька Єва В'ячеславівна
Ахмедов Рената Болеславівна
Булах Федот Миронович
Шмігельський Орест Вольдемарович
Куцан Діана Гордеївна
Задніпрянець Глафіра Георгіївна
Бомко Кондрат Велорович
Капінос Наум Лук'янович
Вареник Аліса Іракліївна
Власова Лариса Рубенівна
Сірук Варвара Іванівна
Наум Марк Савелійович
Ананьєв Стела Матвеївна
Матис Герман Самуїлович
Яхненко Серафіма Степанівна
Онуфрієв Овідій Іраклійович
Винарчук Герман Яківович
Златова Роксана Карлівна
Пеляк Анфіса Самуїлівна
Фішер Уляна Едуардівна
Пашенюк Роксолана Тарасівна
Кострицький Михайло Веніамінович
Горецький Мойсей Гаріович
Віценко Римма Юліанівна
Левков Роберт Маркович
Лех Інеса Робертівна
Логунова Мірра Орестівна
Кривчук Веста Аврамівна
Чеверда Поліна Митрофанівна
Давидюк Орест Ясонович
Долобан Омелян Володимирович
Мойсієнко Рената Борисівна
Панькович Віталіна Родіонівна
Казюк Раїса Ельдарівна
Ханіна Еріка Валентинівна
Шажко Фома Аврамович
Король Аврам Робертович
Чижук Серафіма Артурівна
Яськів Лев Віссаріонович
Гопцій Андрій Леонардович
Буковська Ельвіра Захарівна
Чернецький Ясон Германович
Давидченко Ельза Рубенівна
Черняну Порфирій Володимирович
Сінельник Прокофій Євдокимович
Курман Зоя Омелянівна
Бадьора Ядвіга Гаріівна
Гарбарук Мірра Давидівна
Тичинський Мойсей Пилипович
Карлюк Тарас Бенедиктович
Зякун Флора Артемівна
Дятленко Яромир Артурович
Процько Вадим Віталійович
Хрищенюк Овідій Любомирович
Потапчук Пилип Богданович
Скрипець Вітольд Васильович
Бучек Савелій Микитович
Сіряк Богдана Феліксівна
Добров Вікентій Захарович
Донченко Людвіг Герасимович
Болтян Володимир Антонович
Кузнєцов Прокофій Веніамінович
Клевцова Регіна Памфілівна
Салійчук Єва Герасимівна
Даньків Майя Святославівна
Хвіст Артур Олексійович
Сухонос Фома Мечиславович
Харченко Овідій Аристархович
Шакало Нісон Миронович
Вівсяний Максиміліан Мечиславович
Куріна Гелена Натанівна
Балабанова Христина Робертівна
Завора Людмила Федірівна
Сахно Софія Геннадіївна
Полторацька Данута Робертівна
Касьн Єгор Памфілович
Хасанов Парасковія Аристархівна
Матюшок Карл Лук'янович
Родін Лілія Юліанівна
Пелешенко Митрофан Дональдович
Дирда Катерина Аврамівна
Руцький Олександр Любомирович
Макієнко Кондрат Віталійович
Корабльов Петро Леонтійович
Веприк Мечислав Іванович
Кірюхін Артур Ілліч
Максимюк Юліан Артемович
Семеног Савелій Орестович
Гниденко Мартін Павлович
Старовойтова Глорія Ігнатіївна
Оніпко Зінаїда Дмитроівна
Ройко Сніжана Гордеївна
Розпутня Федот Степанович
Заярнюк Ада Арсеніївна
Вінницький Прокофій Миронович
Долобан Майя Памфілівна
Кулаківський Велор Адріанович
Анісімова Ганна Вальтерівна
Лопатін Клара Памфілівна
Аврамов Веста Модестівна
Кузьминський Святослав Мартінович
Дроган Аліса Святославівна
Поливяний Велор Мойсейович
Хобот Борис Броніславович
Лайко Ісак Олесьович
Скубко Степан Георгійович
Богайчук Вікентій Борисович
Кархут Іраїда Натанівна
Фомюк Мартін Яромирович
Коркач Віталіна Едуардівна
Григорян Тимофій Ясенович
Буркун Артемій Любомирович
Борзих Владислав Вадимович
Мозіль Дмитро Карлович
